Country,count
United States,1992
Soviet Union,1021
Australia,798
Germany,691
China,679
Russia,638
East Germany,626
Italy,486
Romania,482
United Kingdom,467
"Korea, South",454
France,449
Netherlands,428
Japan,388
Hungary,368
Cuba,349
West Germany,345
Spain,328
Brazil,318
Canada,304
Yugoslavia,278
Poland,263
Bulgaria,247
Unified team,223
Sweden,193
Norway,154
Argentina,153
Denmark,148
Ukraine,148
New Zealand,122
Belarus,92
Jamaica,89
Czechoslovakia,85
Nigeria,82
Croatia,79
Switzerland,79
Greece,74
Kenya,56
Finland,54
Lithuania,50
Pakistan,49
Belgium,41
Czech Republic,41
Taiwan,40
Turkey,40
Kazakhstan,39
Mexico,38
"Korea, North",37
Indonesia,35
Austria,34
Ethiopia,32
Slovakia,29
Serbia,29
Chile,24
South Africa,24
Zimbabwe,23
India,22
Cameroon,21
Thailand,21
Iran,21
Slovenia,21
Morocco,20
Bahamas,19
Georgia,18
Uzbekistan,17
Paraguay,17
Portugal,16
Iceland,16
Azerbaijan,16
Latvia,14
Peru,14
Algeria,14
Ireland,14
Mongolia,14
Ghana,13
Estonia,12
Trinidad and Tobago,11
Armenia,9
Venezuela,8
Colombia,8
Egypt,7
Israel,7
Moldova,6
Malaysia,6
Puerto Rico*,5
Namibia,4
Dominican Republic,4
Costa Rica,4
Syria,3
Hong Kong*,3
Philippines,3
Singapore,3
Independent Olympic Participants (1992),3
Kyrgyzstan,3
Zambia,2
Tajikistan,2
Vietnam,2
Saudi Arabia,2
Tunisia,2
Uganda,2
Tanzania,2
Suriname,2
Qatar,2
Mozambique,2
Ecuador,2
Guyana,1
Bermuda*,1
Lebanon,1
Cote d'Ivoire,1
Senegal,1
Netherlands Antilles*,1
Burundi,1
Djibouti,1
Virgin Islands*,1
Tonga,1
Sri Lanka,1
Barbados,1
Kuwait,1
Uruguay,1
Eritrea,1
Macedonia,1
United Arab Emirates,1
Panama,1
Mauritius,1
Sudan,1
Togo,1
Afghanistan,1
